Reporting Area,Current week,Previous 52 weeks Max †,Cum YTD 2026 †,Cum YTD 2025 †,State,Estimated Population,Incidence Rate
Connecticut,7,11,24,17,Connecticut,3600000,0.6666666666666666
Maine,2,1,2,0,Maine,1400000,0.14285714285714285
Massachusetts,0,12,20,21,Massachusetts,7000000,0.2857142857142857
New Hampshire,0,1,1,4,New Hampshire,1400000,0.07142857142857142
Rhode Island,0,2,3,1,Rhode Island,1100000,0.2727272727272727
Vermont,0,2,0,0,Vermont,650000,0.0
New Jersey,0,31,44,57,New Jersey,9350000,0.4705882352941176
Pennsylvania,0,0,0,0,Pennsylvania,13050000,0.0
Illinois,1,53,74,112,Illinois,12500000,0.592
Indiana,2,8,28,15,Indiana,6900000,0.4057971014492754
Michigan,63,310,412,20,Michigan,10050000,4.099502487562189
Ohio,166,21,197,13,Ohio,11800000,1.6694915254237288
Wisconsin,0,11,35,28,Wisconsin,5950000,0.5882352941176471
Iowa,0,16,1,20,Iowa,3250000,0.030769230769230767
Kansas,1,6,22,13,Kansas,2950000,0.7457627118644068
Minnesota,0,9,0,21,Minnesota,5800000,0.0
Missouri,0,8,0,12,Missouri,6200000,0.0
Nebraska,4,13,15,3,Nebraska,2000000,0.75
North Dakota,0,2,2,2,North Dakota,780000,0.2564102564102564
South Dakota,0,1,0,1,South Dakota,920000,0.0
Delaware,0,0,0,1,Delaware,1050000,0.0
Florida,14,29,60,24,Florida,23500000,0.2553191489361702
Georgia,15,15,51,14,Georgia,11200000,0.4553571428571429
Maryland,8,19,31,12,Maryland,6250000,0.496
North Carolina,0,47,42,154,North Carolina,11000000,0.38181818181818183
South Carolina,3,10,8,4,South Carolina,5450000,0.14678899082568808
Virginia,8,14,40,15,Virginia,8800000,0.45454545454545453
West Virginia,0,1,1,1,West Virginia,1750000,0.05714285714285714
Alabama,0,5,1,2,Alabama,5150000,0.01941747572815534
Kentucky,2,27,47,17,Kentucky,4550000,1.0329670329670328
Mississippi,0,0,0,0,Mississippi,2900000,0.0
Tennessee,11,9,21,6,Tennessee,7150000,0.2937062937062937
Arkansas,3,4,4,5,Arkansas,3100000,0.12903225806451613
Louisiana,0,10,1,26,Louisiana,4600000,0.021739130434782608
Oklahoma,4,9,11,5,Oklahoma,4100000,0.2682926829268293
Texas,1,62,9,63,Texas,31700000,0.028391167192429023
Arizona,0,8,0,12,Arizona,7450000,0.0
Colorado,11,36,102,70,Colorado,5900000,1.7288135593220337
Idaho,0,0,0,0,Idaho,2050000,0.0
Montana,0,2,0,3,Montana,1150000,0.0
Nevada,0,2,3,2,Nevada,3250000,0.09230769230769231
New Mexico,0,3,2,4,New Mexico,2150000,0.09302325581395349
Utah,0,7,10,21,Utah,3500000,0.2857142857142857
Wyoming,0,0,0,0,Wyoming,580000,0.0
Alaska,0,2,1,2,Alaska,730000,0.13698630136986303
California,0,23,37,90,California,39350000,0.0940279542566709
Hawaii,0,0,0,1,Hawaii,1400000,0.0
Oregon,1,5,16,11,Oregon,4250000,0.3764705882352941
Washington,0,0,0,0,Washington,7900000,0.0
