"Nationally Notifiable Infectious Diseases and Conditions, United States: Weekly Tables",,,,
"Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending July 04, 2026 (Week 26)",,,,
Cyclosporiasis,,,,
Reporting Area,Current week,Previous 52 weeks Max †,Cum YTD 2026 †,Cum YTD 2025 †
"U.S. Residents, excluding U.S. Territories",358,524,"1,838","1,067"
New England,9,26,50,43
Connecticut,7,11,24,17
Maine,2,1,2,-
Massachusetts,-,12,20,21
New Hampshire,-,1,1,4
Rhode Island,-,2,3,1
Vermont,-,2,-,-
Middle Atlantic,31,123,504,199
New Jersey,-,31,44,57
New York (excluding New York City),17,39,117,47
New York City,14,76,343,95
Pennsylvania,N,NC,N,N
East North Central,232,347,746,188
Illinois,1,53,74,112
Indiana,2,8,28,15
Michigan,63,310,412,20
Ohio,166,21,197,13
Wisconsin,-,11,35,28
West North Central,5,36,40,72
Iowa,-,16,1,20
Kansas,1,6,22,13
Minnesota,-,9,-,21
Missouri,-,8,-,12
Nebraska,4,13,15,3
North Dakota,-,2,2,2
South Dakota,-,1,-,1
South Atlantic,48,112,233,225
Delaware,-,0,-,1
District of Columbia,-,2,-,-
Florida,14,29,60,24
Georgia,15,15,51,14
Maryland,8,19,31,12
North Carolina,-,47,42,154
South Carolina,3,10,8,4
Virginia,8,14,40,15
West Virginia,-,1,1,1
East South Central,13,31,69,25
Alabama,-,5,1,2
Kentucky,2,27,47,17
Mississippi,N,NC,N,N
Tennessee,11,9,21,6
West South Central,8,73,25,99
Arkansas,3,4,4,5
Louisiana,-,10,1,26
Oklahoma,4,9,11,5
Texas,1,62,9,63
Mountain,11,48,117,112
Arizona,-,8,-,12
Colorado,11,36,102,70
Idaho,N,NC,N,N
Montana,-,2,-,3
Nevada,-,2,3,2
New Mexico,-,3,2,4
Utah,-,7,10,21
Wyoming,-,0,-,-
Pacific,1,26,54,104
Alaska,-,2,1,2
California,-,23,37,90
Hawaii,-,0,-,1
Oregon,1,5,16,11
Washington,-,0,-,-
U.S. Territories,-,0,-,-
American Samoa,N,NC,N,N
Commonwealth of Northern Mariana Islands,-,0,-,-
Guam,-,0,-,-
Puerto Rico,-,0,-,-
U.S. Virgin Islands,-,0,-,-
Non-U.S. Residents,-,1,-,1
Total,358,524,"1,838","1,068"
