State,Estimated Population
Alabama,"5,150,000"
Alaska,"730,000"
Arizona,"7,450,000"
Arkansas,"3,100,000"
California,"39,350,000"
Colorado,"5,900,000"
Connecticut,"3,600,000"
Delaware,"1,050,000"
Florida,"23,500,000"
Georgia,"11,200,000"
Hawaii,"1,400,000"
Idaho,"2,050,000"
Illinois,"12,500,000"
Indiana,"6,900,000"
Iowa,"3,250,000"
Kansas,"2,950,000"
Kentucky,"4,550,000"
Louisiana,"4,600,000"
Maine,"1,400,000"
Maryland,"6,250,000"
Massachusetts,"7,000,000"
Michigan,"10,050,000"
Minnesota,"5,800,000"
Mississippi,"2,900,000"
Missouri,"6,200,000"
Montana,"1,150,000"
Nebraska,"2,000,000"
Nevada,"3,250,000"
New Hampshire,"1,400,000"
New Jersey,"9,350,000"
New Mexico,"2,150,000"
New York,"20,000,000"
North Carolina,"11,000,000"
North Dakota,"780,000"
Ohio,"11,800,000"
Oklahoma,"4,100,000"
Oregon,"4,250,000"
Pennsylvania,"13,050,000"
Rhode Island,"1,100,000"
South Carolina,"5,450,000"
South Dakota,"920,000"
Tennessee,"7,150,000"
Texas,"31,700,000"
Utah,"3,500,000"
Vermont,"650,000"
Virginia,"8,800,000"
Washington,"7,900,000"
West Virginia,"1,750,000"
Wisconsin,"5,950,000"
Wyoming,"580,000"
